"","","","","","","","","","","","Satisfaccion con su trabajo","","","Como describiria las relaciones en su lugar de trabajo","","Total de años trabajados","","","","",""
"Edad","Renunció","Viaja por trabajo","Departamento","Distancia a su casa (km)","Nivel de educacion","Campo de estudio","Numero de empleado ","Entorno laboral","Género","Rol laboral","Satifacción laboral general","Estado civil","Porcentaje Aumento Del Salario","Satisfaccion de relaciones","Cantidad de horas trabajadas","Antiguedad laboral","Antiguedad en la empresa","Capacitaciones del año anterior","Antiguedad en el mismo puesto","Años desde el ultimo ascenso","Años con el mismo gerente"
"4 1","Sí","Rara Vez Viaja","Ventas","1","2","Ciencias de la Vida","1","2","Femenino"," Ejecutivo de Ventas","4","Soltero","11","1","80","8","6","0","4","0","50"
"49","No","Viaja Frecuentemente","Investigación y Desarrollo","8","1","Ciencias de la Vida","2","3","Masculino"," Investigador Científico","2","Casado","23","4","80","10","100","3","7","1","7"
"37","Sí","Rara Vez Viaja","Investigación y Desarrollo","2","2","Otro","4","4","Masculino","Técnico de laboratorio","3","Soltero","15","2","80","7","0","3","0","0","0"
"33","No","Viaja Frecuentemente","Investigación y Desarrollo","3","4","Ciencias de la Vida","5","4","Femenino"," Investigador Científico","3","Casdo","11","3","80","8","8","3","7","3","0"
"27","No","Rara Vez Viaja","Investigación y Desarrollo","2","1","Medicina","7","1","Masculino","Técnico de laboratorio","2","Casado","12","4","80","6","2","3","2","2","2"
"32","No","Viaja Frecuentemente","Investigación y Desarrollo","2","2","Ciencias de la Vida","8","4","Masculino","Técnico de laboratorio","4","Soltero","13","3","80","8","7","2","7","3","6"
"59","No","Rara Vez Viaja","Investigación y Desarrollo","3","3","Medicina","10","3","Femenino","Técnico de laboratorio","1","Casado","20","1","80","12","1","3","0","0","0"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","24","1","Ciencias de la Vida","11","4","Masculino","Técnico de laboratorio","3","Divorciado","22","2","80","1","1","2","0","0","0"
"38","No","Viaja Frecuentemente","Investigación y Desarrollo","23","3","Ciencias de la Vida","12","4","Masculino"," Director de Manufactura","3","Soltero","21","2","80","10","9","2","7","1","8"
"36","No"," Viaja","Investigación y Desarrollo","27","3","Medicina","13","3","Masculino","Representante de Salud","3","Casado","13","2","80","17","7","3","7","7","7"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","16","3","Medicina","14","1","Masculino","Técnico de laboratorio","2","Casado","13","3","80","6","5","5","4","0","3"
"29","No","Rara Vez Viaja","Investigación y Desarrollo","15","2","Ciencias de la Vida","15","4","Femenino","Técnico de laboratorio","3","Soltero","12","4","80","10","9","3","5","0","8"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","26","1","Ciencias de la Vida","16","1","Masculino"," Investigador Científico","10","Divorciado","17","4","80","5","5","1","2","4","3"
"34","No","Rara Vez Viaja","Investigación y Desarrollo","19","2","Medicina","18","2","Masculino","Técnico de laboratorio","4","Divorciado","11","3","8000","3","2","2","2","1","2"
"28","Sí","Rara Vez Viaja","Investigación y Desarrollo","24","3","Ciencias de la Vida","19","3","Masculino","Técnico de laboratorio","3","Soltero","14","2","8","6","4","4","2","0","3"
"29","No","Rara Vez Viaja","Investigación y Desarrollo","21","4","Ciencias de la Vida","20","2","Femenino"," Director de Manufactura","1","Divorciado","11","3","80","10","10","1","9","8","8"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","5","2","Ciencias de la Vida","21","1","Masculino"," Investigador Científico","2","Divorciado","12","4","80","7","6","5","2","0","5"
"22","No","No Viaja","Investigación y Desarrollo","16","2","Medicina","22","4","Masculino","Técnico de laboratorio","4","Divorciado","13","2","80","1","1","2","0","0","0"
"53","No","Rara Vez Viaja","Ventas","2","4","Ciencias de la Vida","23","1","Femenino","Gerente","4","Casado","16","3","80","31","25","3","8","3","7"
"38","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Ciencias de la Vida","24","4","Masculino"," Investigador Científico","4","Soltero","11","3","80","6","3","3","2","1","2"
"24","No","No Viaja","Investigación y Desarrollo","11","2","Otro","26","1","Femenino"," Director de Manufactura","3","Divorciado","18","4","80","5","4","5","2","1","3"
"36","Sí","Rara Vez Viaja","Ventas","9","4","Ciencias de la Vida","27","3","Masculino","Ventas Representative","1","Soltero","23","2","80","10","5","4","3","0","3"
"34","No","Rara Vez Viaja","Investigación y Desarrollo","7","4","Ciencias de la Vida","28","1","Femenino","Director de Investigación","2","Soltero","11","3","80","13","12","4","6","2","11"
"21","No","Rara Vez Viaja","Investigación y Desarrollo","15","2","Ciencias de la Vida","30","3","Masculino"," Investigador Científico","4","Soltero","14","4","80","0","0","6","0","0","0"
"34","Sí","Rara Vez Viaja","Investigación y Desarrollo","6","1","Medicina","31","2","Masculino"," Investigador Científico","1","Soltero","11","3","80","8","4","2","2","1","3"
"53","No","Rara Vez Viaja","Investigación y Desarrollo","5","3","Otro","32","3","Femenino","Gerente","3","Divorciado","11","4","80","26","14","3","13","4","8"
"32","Sí","Viaja Frecuentemente","Investigación y Desarrollo","16","1","Ciencias de la Vida","33","2","Femenino"," Investigador Científico","1","Soltero","22","2","80","10","10","5","2","6","7"
"42","No","Rara Vez Viaja","Ventas","8","4","Marketing","35","3","Masculino"," Ejecutivo de Ventas","2","Casado","11","4","80","10","9","2","7","4","2"
"44","No","Rara Vez Viaja","Investigación y Desarrollo","7","4","Medicina","36","1","Femenino","Representante de Salud","4","Casado","14","4","80","24","22","4","6","5","17"
"46","No","Rara Vez Viaja","Ventas","2","4","Marketing","38","2","Femenino","Gerente","1","Soltero","12","4","80","22","2","2","2","2","1"
"33","No","Rara Vez Viaja","Investigación y Desarrollo","2","3","Medicina","39","3","Masculino","Técnico de laboratorio","4","Soltero","11","4","80","7","1","3","1","0","0"
"44","No","Rara Vez Viaja","Investigación y Desarrollo","10","4","Otro","40","4","Masculino","Representante de Salud","4","Casado","13","4","80","9","4","5","2","1","3"
"30","No","Rara Vez Viaja","Investigación y Desarrollo","9","2","Medicina","41","4","Masculino","Técnico de laboratorio","3","Soltero","13","1","80","10","10","5","0","1","8"
"39","Sí","Rara Vez Viaja","Ventas","5","3","Técnico","42","4","Masculino","Ventas Representative","4","Casado","14","3","80","19","1","6","0","0","0"
"24","Sí","Rara Vez Viaja","Investigación y Desarrollo","1","3","Medicina","45","2","Masculino"," Investigador Científico","4","Casado","16","1","80","6","2","2","0","2","0"
"43","No","Rara Vez Viaja","Investigación y Desarrollo","2","2","Medicina","46","4","Femenino"," Investigador Científico","3","Divorciado","12","4","80","6","5","3","3","1","4"
"50","Sí","Rara Vez Viaja","Ventas","3","2","Marketing","47","1","Masculino","Ventas Representative","3","Casado","14","3","80","3","3","2","2","0","2"
"35","No","Rara Vez Viaja","Ventas","2","3","Marketing","49","4","Femenino","Ventas Representative","4","Casado","13","1","80","2","2","3","2","2","2"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","5","4","Ciencias de la Vida","51","2","Femenino"," Investigador Científico","1","Viudo","14","4","80","6","1","3","1","0","0"
"33","No","Viaja Frecuentemente","Ventas","1","3","Ciencias de la Vida","52","3","Femenino"," Ejecutivo de Ventas","1","Casado","19","1","80","10","5","3","3","1","3"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","4","2","Otro","53","3","Masculino","Técnico de laboratorio","4","Divorciado","12","3","80","1","1","3","0","0","0"
"27","No","Rara Vez Viaja","Investigación y Desarrollo","2","4","Ciencias de la Vida","54","4","Femenino","Técnico de laboratorio","1","Divorciado","13","4","80","1","1","6","0","0","0"
"26","Sí","Rara Vez Viaja","Investigación y Desarrollo","25","3","Ciencias de la Vida","55","1","Masculino","Técnico de laboratorio","3","Soltero","12","3","80","1","1","2","0","0","1"
"27","No","Viaja Frecuentemente","Ventas","8","3","Ciencias de la Vida","56","4","Masculino"," Ejecutivo de Ventas","3","Soltero","15","4","80","9","9","0","8","1","7"
"30","No","Viaja Frecuentemente","Investigación y Desarrollo","1","2","Medicina","57","3","Femenino","Técnico de laboratorio","4","Soltero","23","4","80","12","12","2","8","3","7"
"41","Sí","Rara Vez Viaja","Investigación y Desarrollo","12","3","Técnico","58","2","Femenino","Director de Investigación","3","Casado","12","4","80","23","22","0","15","15","8"
"34","No","No Viaja","Ventas","23","4","Marketing","60","2","Masculino"," Ejecutivo de Ventas","3","Soltero","20","3","80","10","9","2","5","8","7"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","19","2","Ciencias de la Vida","61","2","Masculino"," Investigador Científico","2","Casado","21","1","80","8","1","1","0","0","0"
"46","No","Viaja Frecuentemente","Ventas","5","4","Marketing","62","1","Masculino"," Ejecutivo de Ventas","4","Soltero","21","3","80","14","9","4","6","0","8"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","8","1","Ciencias de la Vida","63","4","Masculino","Técnico de laboratorio","4","Casado","19","4","80","1","1","2","0","0","1"
"48","Sí","Rara Vez Viaja","Investigación y Desarrollo","1","2","Ciencias de la Vida","64","1","Masculino","Técnico de laboratorio","3","Soltero","13","4","80","23","1","2","0","0","0"
"28","Sí","Rara Vez Viaja","Investigación y Desarrollo","5","4","Técnico","65","3","Masculino","Técnico de laboratorio","3","Soltero","13","3","80","2","2","3","2","2","2"
"44","No","Rara Vez Viaja","Ventas","1","5","Marketing","68","2","Femenino"," Ejecutivo de Ventas","1","Divorciado","21","3","80","9","4","2","3","1","3"
"35","No","No Viaja","Investigación y Desarrollo","11","2","Medicina","70","3","Masculino","Representante de Salud","1","Casado","13","3","80","10","4","3","0","2","3"
"26","No","Rara Vez Viaja","Ventas","23","3","Marketing","72","3","Femenino"," Ejecutivo de Ventas","4","Casado","19","3","80","5","2","2","2","0","0"
"33","No","Viaja Frecuentemente","Investigación y Desarrollo","1","2","Ciencias de la Vida","73","1","Femenino","Director de Investigación","4","Soltero","12","3","80","15","15","1","14","8","12"
"35","No","Viaja Frecuentemente","Ventas","18","5","Ciencias de la Vida","74","2","Masculino"," Ejecutivo de Ventas","1","Casado","22","4","80","9","9","3","8","1","8"
"35","No","Rara Vez Viaja","Investigación y Desarrollo","23","4","Medicina","75","3","Femenino","Técnico de laboratorio","1","Casado","15","3","80","4","2","3","2","2","2"
"31","No","Rara Vez Viaja","Investigación y Desarrollo","7","4","Ciencias de la Vida","76","4","Masculino","Técnico de laboratorio","4","Divorciado","22","4","80","10","7","3","7","1","7"
"37","No","Rara Vez Viaja","Investigación y Desarrollo","1","4","Ciencias de la Vida","77","1","Masculino"," Director de Manufactura","3","Divorciado","18","3","80","7","7","2","5","0","7"
"32","No","Rara Vez Viaja","Investigación y Desarrollo","1","3","Medicina","78","1","Masculino"," Director de Manufactura","4","Casado","22","2","80","9","9","3","8","7","8"
"38","No","Viaja Frecuentemente","Investigación y Desarrollo","29","5","Ciencias de la Vida","79","4","Femenino","Técnico de laboratorio","4","Soltero","11","4","80","10","10","2","3","9","9"
"5","No","Rara Vez Viaja","Investigación y Desarrollo","7","2","Medicina","80","2","Femenino","Director de Investigación","3","Divorciado","12","4","80","29","27","2","3","13","8"
"59","No","Rara Vez Viaja","Ventas","25","3","Ciencias de la Vida","81","1","Femenino"," Ejecutivo de Ventas","1","Soltero","11","4","80","28","21","3","16","7","9"
"36","No","Rara Vez Viaja","Investigación y Desarrollo","8","3","Técnico","83","3","Femenino","Representante de Salud","3","Divorciado","13","2","80","17","17","2","14","12","8"
"55","No","Rara Vez Viaja","Investigación y Desarrollo","8","3","Medicina","84","4","Femenino","Gerente","3","Divorciado","14","3","80","21","5","2","0","0","2"
"36","No","Viaja Frecuentemente","Investigación y Desarrollo","11","3","Ciencias de la Vida","85","2","Masculino"," Director de Manufactura","2","Soltero","13","3","80","6","6","3","5","0","3"
"45","No","Rara Vez Viaja","Investigación y Desarrollo","7","3","Ciencias de la Vida","86","2","Masculino"," Investigador Científico","1","Divorciado","17","3","80","25","1","2","0","0","0"
"35","No","Viaja Frecuentemente","Investigación y Desarrollo","1","3","Medicina","88","2","Masculino"," Investigador Científico","1","Casado","13","4","80","5","3","2","2","1","2"
